Mach,Rayleigh_Pitot_P02_over_P1,Isentropic_P01_over_P1,P02_over_P01
4.68,28.66579171,361.3046699,0.079339666
4.69,28.78641325,365.7283137,0.07870983
4.7,28.90729246,370.200075,0.078085593
4.71,29.02842932,374.7204041,0.077466903
4.72,29.14982384,379.2897547,0.076853707
4.73,29.27147602,383.9085839,0.076245953
4.74,29.39338585,388.5773524,0.07564359
4.75,29.51555333,393.2965245,0.075046565
4.76,29.63797846,398.066568,0.07445483
4.77,29.76066125,402.8879541,0.073868332
4.78,29.88360168,407.761158,0.073287024
4.79,30.00679976,412.686658,0.072710855
4.8,30.13025549,417.6649366,0.072139777
4.81,30.25396887,422.6964796,0.071573742
4.82,30.37793989,427.7817765,0.071012702
4.83,30.50216855,432.9213206,0.07045661
4.84,30.62665486,438.115609,0.069905418
4.85,30.75139881,443.3651424,0.069359081
4.86,30.8764004,448.6704253,0.068817552
4.87,31.00165963,454.031966,0.068280786
4.88,31.12717649,459.4502767,0.067748738
4.89,31.252951,464.9258733,0.067221363
4.9,31.37898314,470.4592757,0.066698617
4.91,31.50527291,476.0510076,0.066180456
4.92,31.63182032,481.7015966,0.065666837
4.93,31.75862537,487.4115743,0.065157717
4.94,31.88568804,493.181476,0.064653053
4.95,32.01300835,499.0118414,0.064152803
4.96,32.14058628,504.9032139,0.063656926
4.97,32.26842185,510.8561408,0.063165379
4.98,32.39651504,516.8711739,0.062678123
4.99,32.52486586,522.9488685,0.062195117
5,32.65347431,529.0897844,0.06171632
